            JDTDB             Calendar Date (TDB),                      X,                      Y,                      Z,             X_s,             Y_s,             Z_s,
2385456.500000000, A.D. 1819-Jan-22 00:00:00.0000, -3.933125887472715E+08, -6.324266267572712E+08, -1.369788223675213E+08,  2.37524617E+02,  1.60174882E+02,  8.13510924E+01,
2385516.500000000, A.D. 1819-Mar-23 00:00:00.0000, -3.329990161443357E+08, -6.636630897020453E+08, -1.494056582366070E+08,  2.47224576E+02,  1.40278231E+02,  7.95946473E+01,
2385576.500000000, A.D. 1819-May-22 00:00:00.0000, -2.699601728627938E+08, -6.894593127313555E+08, -1.606070717010902E+08,  2.54849328E+02,  1.20234337E+02,  7.85684190E+01,
2385636.500000000, A.D. 1819-Jul-21 00:00:00.0000, -2.047148550225048E+08, -7.096101957930671E+08, -1.704927779996097E+08,  2.60344945E+02,  1.00572781E+02,  7.83255403E+01,
2385696.500000000, A.D. 1819-Sep-19 00:00:00.0000, -1.377993131839221E+08, -7.239590929222964E+08, -1.789838872351131E+08,  2.63687203E+02,  8.20924452E+01,  7.88672850E+01,
2385756.500000000, A.D. 1819-Nov-18 00:00:00.0000, -6.976227823495767E+07, -7.323989687584866E+08, -1.860135594725360E+08,  2.64879788E+02,  6.61417952E+01,  8.01424720E+01,
2385816.500000000, A.D. 1820-Jan-17 00:00:00.0000, -1.159910730734706E+06, -7.348730314757737E+08, -1.915275287405088E+08,  2.63952438E+02,  5.50259484E+01,  8.20552965E+01,
2385876.500000000, A.D. 1820-Mar-17 00:00:00.0000,  6.744925179516120E+07, -7.313748554097891E+08, -1.954844930100762E+08,  2.60958985E+02,  5.16495266E+01,  8.44788186E+01,
2385936.500000000, A.D. 1820-May-16 00:00:00.0000,  1.355092897151681E+08, -7.219479868349264E+08, -1.978563667378410E+08,  2.55975240E+02,  5.68320483E+01,  8.72699634E+01,
2385996.500000000, A.D. 1820-Jul-15 00:00:00.0000,  2.024717837336905E+08, -7.066850620569056E+08, -1.986283980923405E+08,  2.49096782E+02,  6.79818803E+01,  9.02826179E+01,
